"","Agrupacion","Cargo","Codigo","Distrito","Establecimiento","Fecha","IdCargo","IdCircuito","IdDistrito","IdSeccion","Mesa","Seccion","electores","envio","idAgrupacion","idAgrupacionInt","tipoVoto","votos"
"114",NA,"CONCEJALES",6256,"Buenos Aires","ESCUELA EP N°63/ES N°42","14-11-2021 19:15",7,"262",2,62,"00271X","Lanús",353,10,NA,NA,"comando",0
"115",NA,"CONCEJALES",6256,"Buenos Aires","ESCUELA EP N°63/ES N°42","14-11-2021 19:15",7,"262",2,62,"00271X","Lanús",353,10,NA,NA,"impugnados",0
"116","FRENTE DE TODOS","CONCEJALES",6256,"Buenos Aires","ESCUELA EP N°63/ES N°42","14-11-2021 19:15",7,"262",2,62,"00271X","Lanús",353,10,507,44,"positivo",105
"117","JUNTOS","CONCEJALES",6256,"Buenos Aires","ESCUELA EP N°63/ES N°42","14-11-2021 19:15",7,"262",2,62,"00271X","Lanús",353,10,506,43,"positivo",86
"118","AVANZA LIBERTAD","CONCEJALES",6256,"Buenos Aires","ESCUELA EP N°63/ES N°42","14-11-2021 19:15",7,"262",2,62,"00271X","Lanús",353,10,503,40,"positivo",20
"119","FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD","CONCEJALES",6256,"Buenos Aires","ESCUELA EP N°63/ES N°42","14-11-2021 19:15",7,"262",2,62,"00271X","Lanús",353,10,504,41,"positivo",18
"120","FRENTE VAMOS CON VOS","CONCEJALES",6256,"Buenos Aires","ESCUELA EP N°63/ES N°42","14-11-2021 19:15",7,"262",2,62,"00271X","Lanús",353,10,508,45,"positivo",13
"121",NA,"CONCEJALES",6271,"Buenos Aires","ESCUELA EP N°36","14-11-2021 19:15",7,"263",2,62,"00399X","Lanús",354,10,NA,NA,"blancos",12
"122",NA,"CONCEJALES",6271,"Buenos Aires","ESCUELA EP N°36","14-11-2021 19:15",7,"263",2,62,"00399X","Lanús",354,10,NA,NA,"nulos",0
"123",NA,"CONCEJALES",6271,"Buenos Aires","ESCUELA EP N°36","14-11-2021 19:15",7,"263",2,62,"00399X","Lanús",354,10,NA,NA,"recurridos",0
"124",NA,"CONCEJALES",6271,"Buenos Aires","ESCUELA EP N°36","14-11-2021 19:15",7,"263",2,62,"00399X","Lanús",354,10,NA,NA,"comando",0
"125",NA,"CONCEJALES",6271,"Buenos Aires","ESCUELA EP N°36","14-11-2021 19:15",7,"263",2,62,"00399X","Lanús",354,10,NA,NA,"impugnados",0
"126","JUNTOS","CONCEJALES",6271,"Buenos Aires","ESCUELA EP N°36","14-11-2021 19:15",7,"263",2,62,"00399X","Lanús",354,10,506,43,"positivo",100
